name,hex,year,family,hue,sat,lum,r,g,b,yiq,wcag_w,wcag_k
Mulberry,#c54b8c,1776,V,328.0°,31.44%,53.33%,197,75,140,126,4.41,4.76
Mustard,#e1ad01,1886,Y,46.1°,99.12%,44.31%,225,173,118,186,2.06,10.18
Navy,#091f92,1780,B,230.4°,88.39%,30.39%,9,31,146,41,12.94,1.62
Oat,#f2e4c3,1984,W,42.1°,10.15%,85.69%,242,228,195,251,1.26,16.66
Obsidian,#0d031b,imm.,K,265.0°,80.00%,5.88%,13,3,27,9,20.08,1.05
Ochre,#c75b12,1780,O,24.2°,83.41%,42.55%,199,91,18,124,4.26,4.93
Off-white,#f2f0ef,1925,W,20.0°,0.59%,94.31%,242,240,239,264,1.14,18.49
Olive,#636b2f,c.1400,G,68.0°,38.96%,30.20%,99,107,47,108,5.71,3.67
Onyx,#353839,1848,K,195.0°,3.64%,21.57%,53,56,57,61,11.82,1.78
Orange,#ff7538,1502,O,18.4°,63.99%,60.98%,255,117,56,163,2.67,7.85
Orchid,#ed80e9,1915,P,302.2°,27.18%,71.57%,237,128,233,185,2.37,8.87
Oxblood,#4a0000,1695,R,0.0°,100.00%,14.51%,74,0,0,22,16.26,1.29
Parchment,#f1e9d2,1880,W,44.5°,6.47%,88.43%,241,233,210,256,1.21,17.33
Peach,#ffd3ac,1588,O,28.2°,19.44%,83.73%,255,211,172,241,1.38,15.17
Periwinkle,#ccccff,1922,B,240.0°,11.11%,90.00%,204,204,255,230,1.54,13.65
Pewter,#909eae,c. 1300,K,212.0°,6.25%,62.35%,144,158,174,171,2.73,7.69
Pine green,#01796f,1923,T,175.0°,98.36%,23.92%,1,121,111,96,5.30,3.97
Pink,#ff8bc5,c. 1681,P,330.0°,29.44%,77.25%,255,139,197,194,2.15,9.75
Pistachio,#84b067,1789,G,96.2°,16.70%,54.71%,132,176,103,172,2.50,8.39
Platinum,#e5e4e2,1918,W,40.0°,0.59%,89.22%,229,228,226,251,1.27,16.53
Plum,#8e4585,1805,V,307.4°,34.60%,41.37%,142,69,133,105,6.29,3.34
Powder blue,#9eb9d4,1774,B,210.0°,11.84%,72.55%,158,185,212,199,2.03,10.34
Prussian blue,#003153,1709,B,204.6°,100.00%,16.27%,0,49,83,43,13.43,1.56
Puce,#e491a6,1806,P,344.8°,19.44%,73.14%,228,145,166,187,2.36,8.90
Purple,#9d00ff,975,V,276.9°,100.00%,50.00%,157,0,255,76,5.42,3.88
Raw sienna,#965434,1760,N,19.6°,48.51%,39.61%,150,84,52,108,5.81,3.61
Raw umber,#826644,1658,N,32.9°,31.31%,38.82%,130,102,68,117,5.34,3.93
Red,#ed2839,imm.,R,354.8°,62.94%,54.31%,237,40,57,105,4.23,4.96
Robin egg blue,#96ded1,1873,T,169.2°,16.44%,72.94%,150,222,209,221,1.54,13.67
Rose,#ff1d8d,1382,P,330.3°,79.58%,55.69%,255,29,141,112,3.61,5.81
Royal blue,#305cde,c. 500,B,224.8°,51.79%,52.94%,48,92,222,103,5.66,3.71
Ruby,#e0115f,1572,R,337.4°,85.89%,47.25%,224,17,95,89,4.76,4.41
Russet,#80461b,1562,N,25.5°,65.16%,30.39%,128,70,27,89,7.47,2.81
Rust,#b7410e,1692,O,18.1°,85.79%,38.63%,183,65,14,101,5.56,3.78
Sable,#6e403c,1225,N,4.8°,29.41%,33.33%,110,64,60,84,8.53,2.46
Safety orange,#ff7900,1950,O,28.5°,100.00%,50.00%,255,121,0,159,2.63,7.99
Saffron,#f1c338,1200,Y,45.1°,56.92%,58.24%,241,195,56,212,1.67,12.60
Sage,#bbb791,c. 1600,G,54.3°,8.97%,65.10%,187,183,145,198,2.04,10.30
Salmon,#ff7e70,1776,O,5.9°,38.96%,71.96%,255,126,112,176,2.48,8.47
Sand,#c2b280,1627,N,45.5°,14.86%,63.14%,194,178,128,195,2.11,9.97
Sapphire,#0f52ba,1430,B,216.5°,85.07%,39.41%,15,82,186,82,7.15,2.94
Scarlet,#ff2400,1250,R,8.5°,100.00%,50.00%,255,36,0,101,3.82,5.50
Sea green,#2e8b57,1598,G,146.5°,50.27%,36.27%,46,139,87,119,4.25,4.95
Sepia,#704214,c. 1800,N,30.0°,69.70%,25.88%,112,66,20,81,8.47,2.48
Shamrock,#009e60,c. 1820,G,156.5°,100.00%,30.98%,0,158,96,119,3.47,6.06
Sienna,#882d17,1760,N,11.7°,71.07%,31.18%,136,45,23,74,8.63,2.43
Silver,#c4c4c4,1481,K,0.0°,0.00%,76.86%,196,196,196,216,1.74,12.04
Sky,#87ceeb,1681,B,197.4°,24.39%,72.55%,135,206,235,209,1.74,12.06
Slate,#708090,1705,K,210.0°,6.69%,50.20%,112,128,144,138,4.05,5.18
Smoke,#bfc8c3,1594,K,146.7°,1.80%,76.67%,191,200,195,217,1.71,12.27
Snow,#fffafa,1000,W,0.0°,0.99%,99.02%,255,250,250,276,1.03,20.31
Spring green,#a7fc00,1766,G,80.2°,100.00%,49.41%,167,252,0,223,1.27,16.57
Steel,#9d9fb1,1817,K,234.0°,4.08%,65.49%,157,159,177,176,2.62,8.03
Steel blue,#4682b4,1817,B,207.3°,44.00%,49.02%,70,130,180,131,4.11,5.11
Stone,#b1a69b,1551,K,30.0°,4.51%,65.10%,177,166,155,185,2.39,8.80
Tan,#d2b48c,1590,N,34.3°,15.91%,68.63%,210,180,140,202,1.97,10.65
Tangerine,#f28500,1899,O,33.0°,100.00%,47.45%,242,133,0,164,2.58,8.13
Taupe,#483c32,1846,N,27.3°,18.03%,23.92%,72,60,50,68,10.67,1.97
Tawny,#cd5700,1460,N,25.5°,100.00%,40.20%,205,87,0,121,4.23,4.96
Teal,#069494,1917,T,180.0°,92.21%,30.20%,6,148,148,120,3.70,5.67
Terracotta,#e35336,1782,O,10.1°,51.34%,55.10%,227,83,54,131,3.78,5.56
Thistle,#d8bfd8,1892,V,300.0°,5.15%,79.80%,216,191,216,220,1.70,12.36
Turquoise,#40e0d0,1573,T,174.0°,45.71%,56.47%,64,224,208,197,1.64,12.79
Tyrian,#66023c,c. 1598,V,325.2°,96.15%,20.39%,102,2,60,39,12.81,1.64
Ultramarine,#120a8f,1598,B,243.6°,86.93%,30.00%,18,10,143,29,14.33,1.47
Umber,#635147,c. 1600,N,21.4°,16.47%,33.33%,99,81,71,93,7.50,2.80
Verdigris,#43b3ae,1312,T,177.3°,45.53%,48.24%,67,179,174,163,2.53,8.30
Vermillion,#e34234,1289,O,4.8°,52.24%,54.71%,227,66,52,119,4.12,5.10
Violet,#7f00ff,1370,V,269.9°,100.00%,50.00%,127,0,255,67,6.28,3.35
Viridian,#40826d,c. 1860,G,160.9°,34.02%,38.04%,64,130,109,121,4.53,4.63
Walnut,#5c5248,1706,N,30.0°,12.20%,32.16%,92,82,72,92,7.62,2.76
White,#ffffff,imm.,W,0.0°,0.00%,100.00%,255,255,255,281,1.00,21.00
Wine,#800032,1705,R,336.6°,100.00%,25.10%,128,0,50,44,10.69,1.96
Xanthous,#f1b42f,c. 1820,Y,41.1°,61.39%,56.47%,241,180,47,201,1.86,11.31
Yellow,#fedf00,c. 700,Y,52.7°,100.00%,49.80%,254,223,0,229,1.33,15.77
Zaffre,#0014a8,c. 1550,B,232.9°,100.00%,32.94%,0,20,168,33,12.61,1.67
