index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
BURT,Burt,Western Australia,"Hon. Sir Francis TP Burt AC KCMG QC, 1918–2004; Sir Archibal P Burt KT, 1810–79; &c",19/01/2016,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BWMN,Bowman,Queensland,"David Bowman, 1860–1916",11/05/2049,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CANB,Canberra,Australian Capital Territory,"City of Canberra, est. 1913",19/04/1974,,FALSE,,,,,TRUE,TRUE
CGHM,Cunningham,New South Wales,"Allan Cunningham, 1791–1839",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CGMT,Corangamite,Victoria,"Lake Corangamite/Kronimite, Gulidjan Country",26/09/2000,,TRUE,,,,,TRUE,TRUE
CHFY,Chifley,New South Wales,"Rt Hon. Joseph Benedict Chifley, 1885–1951",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
CHSM,Chisholm,Victoria,"Caroline Chisholm, 1808–77",11/05/2049,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CLRE,Calare,New South Wales,"Lachlan River/Kalari/Galiyarr, Wiradjuri Country",13/07/2006,,FALSE,,,,,TRUE,TRUE
CLRK,Clark,Tasmania,"Andrew Inglis Clark, 1848–1907",14/11/2017,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
CLWL,Calwell,Victoria,"Arthur Augustus Calwell, 1896–1973",14/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CNNG,Canning,Western Australia,"Alfred Wernam Canning, 1860–1936; Sadie Miriam Canning MBE, 1930–2008",11/05/2049,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
COOK,Cook,New South Wales,"Capt James Cook FRS, 1728–79; Rt. Hon. Sir Joseph Cook GCMG PC, 1860–1947",21/11/1968,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
COWN,Cowan,Western Australia,"Edith Dircksey Cowan OBE, 1861–1932",31/08/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
CPCA,Capricornia,Queensland,Tropic of Capricorn,28/12/2000,,TRUE,,,,,TRUE,FALSE
CPER,Cooper,Victoria,"William Cooper, 1861–1941",13/07/2018,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
CRIO,Corio,Victoria,"Corio Bay/Corayo, Wautharong Country",26/09/2000,,TRUE,,,,,TRUE,TRUE
CRTN,Curtin,Western Australia,"John Joseph Ambrose Curtin, 1885–1945",11/05/2049,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
CSEY,Casey,Victoria,"Lord Richard Gavin Gardiner Casey KG GCMG CH DSO MC PC, 1890–1976",21/11/1968,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CWPR,Cowper,New South Wales,"Sir Charles Cowper CMG KCMG, 1807–75",11/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
DBLL,Dobell,New South Wales,"Sir William Dobell OBE, 1899–1970",11/10/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DEKN,Deakin,Victoria,"Hon. Alfred Deakin, 1856–1919",21/07/2037,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
DKLY,Dunkley,Victoria,"Louisa Margaret Dunkley, 1866–1927",14/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
DKSN,Dickson,Queensland,"Sir James Robert Dickson, 1832–1901",28/01/1992,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
DRAK,Durack,Western Australia,"Durack family: Patrick, 1834–98; Dame Mary DBE AC, 1913-94; Michael, 1865–1950; et al.",18/12/2008,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
DWSN,Dawson,Queensland,"Andrew Dawson, 1863–1910",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
EDMO,Eden-Monaro,New South Wales,"Town of Eden, est. 1842; Manaro plateau/Maneroo, Ngarigo Country",11/12/2000,,TRUE,,,,,TRUE,TRUE
FDDN,Fadden,Queensland,"Sir Arthur William Fadden, 1895–1973,",01/11/1977,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
FFAX,Fairfax,Queensland,"Ruth Beatrice Fairfax OBE, 1878–1948",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
